route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,IC,Gand-Saint-Pierre -- Alost,,103,,,
10,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Deinze,,700,,,
100,NMBS/SNCB,BUS,Namur -- Tamines,,700,,,
101,NMBS/SNCB,BUS,Marloie -- Bomal,,700,,,
102,NMBS/SNCB,BUS,Houyet -- Gedinne,,700,,,
103,NMBS/SNCB,BUS,Liège-Guillemins -- Waremme,,700,,,
104,NMBS/SNCB,BUS,Rochefort-Jemelle -- Libramont,,700,,,
105,NMBS/SNCB,BUS,Ottignies -- Namur,,700,,,
106,NMBS/SNCB,BUS,Yvoir -- Gendron-Celles,,700,,,
107,NMBS/SNCB,BUS,Dinant -- Yvoir,,700,,,
108,NMBS/SNCB,BUS,Tongres -- Liers,,700,,,
109,NMBS/SNCB,BUS,Namur -- Marloie,,700,,,
11,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Lokeren,,700,,,
110,NMBS/SNCB,BUS,Rochefort-Jemelle -- Bomal,,700,,,
111,NMBS/SNCB,BUS,Marloie -- Libramont,,700,,,
112,NMBS/SNCB,BUS,Liège-Guillemins -- Welkenraedt,,700,,,
113,NMBS/SNCB,BUS,Arlon -- Athus,,700,,,
114,NMBS/SNCB,BUS,Marloie -- Ciney,,700,,,
115,NMBS/SNCB,BUS,Liège-Guillemins -- Verviers-Central,,700,,,
116,NMBS/SNCB,BUS,Yvoir -- Houyet,,700,,,
117,NMBS/SNCB,BUS,Gembloux -- Namur,,700,,,
118,NMBS/SNCB,BUS,Rochefort-Jemelle -- Ciney,,700,,,
119,NMBS/SNCB,BUS,Libramont -- Bertrix,,700,,,
12,NMBS/SNCB,BUS,Puurs -- Saint-Nicolas,,700,,,
120,NMBS/SNCB,BUS,Maastricht (NL) -- Liège-Guillemins,,700,,,
121,NMBS/SNCB,BUS,Maastricht (NL) -- Visé,,700,,,
122,NMBS/SNCB,BUS,Ciney -- Arlon,,700,,,
123,NMBS/SNCB,BUS,Landen -- Liège-Guillemins,,700,,,
124,NMBS/SNCB,BUS,Rhisnes -- Namur,,700,,,
125,NMBS/SNCB,BUS,Namur -- Charleroi-Central,,700,,,
126,NMBS/SNCB,BUS,Namur -- Jemeppe-sur-Sambre,,700,,,
127,NMBS/SNCB,BUS,Liège-Guillemins -- Flémalle-Haute,,700,,,
128,NMBS/SNCB,BUS,Welkenraedt -- Eupen,,700,,,
129,NMBS/SNCB,BUS,Verviers-Central -- Welkenraedt,,700,,,
13,NMBS/SNCB,BUS,Zottegem -- Denderleeuw,,700,,,
