table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,fr,Ingelmunster,,,Ingelmunster
stops,stop_name,nl,Ingelmunster,,,Ingelmunster
stops,stop_name,de,Ingelmunster,,,Ingelmunster
stops,stop_name,en,Ingelmunster,,,Ingelmunster
stops,stop_name,fr,Izegem,,,Izegem
stops,stop_name,nl,Izegem,,,Izegem
stops,stop_name,de,Izegem,,,Izegem
stops,stop_name,en,Izegem,,,Izegem
stops,stop_name,fr,Roulers,,,Roulers
stops,stop_name,nl,Roeselare,,,Roulers
stops,stop_name,de,Roeselare / Roulers,,,Roulers
stops,stop_name,en,Roeselare / Roulers,,,Roulers
stops,stop_name,fr,Poperinge,,,Poperinge
stops,stop_name,nl,Poperinge,,,Poperinge
stops,stop_name,de,Poperinge,,,Poperinge
stops,stop_name,en,Poperinge,,,Poperinge
stops,stop_name,fr,Ypres,,,Ypres
stops,stop_name,nl,Ieper,,,Ypres
stops,stop_name,de,Ieper / Ypres,,,Ypres
stops,stop_name,en,Ypres / Ieper,,,Ypres
stops,stop_name,fr,Comines,,,Comines
stops,stop_name,nl,Komen,,,Comines
stops,stop_name,de,Komen / Comines,,,Comines
stops,stop_name,en,Comines / Komen,,,Comines
stops,stop_name,fr,Wervik,,,Wervik
stops,stop_name,nl,Wervik,,,Wervik
stops,stop_name,de,Wervik,,,Wervik
stops,stop_name,en,Wervik,,,Wervik
stops,stop_name,fr,Bissegem,,,Bissegem
stops,stop_name,nl,Bissegem,,,Bissegem
stops,stop_name,de,Bissegem,,,Bissegem
stops,stop_name,en,Bissegem,,,Bissegem
stops,stop_name,fr,Wevelgem,,,Wevelgem
stops,stop_name,nl,Wevelgem,,,Wevelgem
stops,stop_name,de,Wevelgem,,,Wevelgem
stops,stop_name,en,Wevelgem,,,Wevelgem
stops,stop_name,fr,Menin,,,Menin
stops,stop_name,nl,Menen,,,Menin
stops,stop_name,de,Menen / Menin,,,Menin
stops,stop_name,en,Menin / Menen,,,Menin
stops,stop_name,fr,Vichte,,,Vichte
stops,stop_name,nl,Vichte,,,Vichte
stops,stop_name,de,Vichte,,,Vichte
stops,stop_name,en,Vichte,,,Vichte
stops,stop_name,fr,Waregem,,,Waregem
stops,stop_name,nl,Waregem,,,Waregem
stops,stop_name,de,Waregem,,,Waregem
stops,stop_name,en,Waregem,,,Waregem
stops,stop_name,fr,Harelbeke,,,Harelbeke
stops,stop_name,nl,Harelbeke,,,Harelbeke
stops,stop_name,de,Harelbeke,,,Harelbeke
stops,stop_name,en,Harelbeke,,,Harelbeke
stops,stop_name,fr,Courtrai,,,Courtrai
stops,stop_name,nl,Kortrijk,,,Courtrai
stops,stop_name,de,Kortrijk / Courtrai,,,Courtrai
stops,stop_name,en,Courtrai / Kortrijk,,,Courtrai
stops,stop_name,fr,Ede,,,Ede
stops,stop_name,nl,Ede,,,Ede
stops,stop_name,de,Ede,,,Ede
stops,stop_name,en,Ede,,,Ede
stops,stop_name,fr,Haaltert,,,Haaltert
stops,stop_name,nl,Haaltert,,,Haaltert
stops,stop_name,de,Haaltert,,,Haaltert
stops,stop_name,en,Haaltert,,,Haaltert
stops,stop_name,fr,Welle,,,Welle
stops,stop_name,nl,Welle,,,Welle
stops,stop_name,de,Welle,,,Welle
stops,stop_name,en,Welle,,,Welle
stops,stop_name,fr,Iddergem,,,Iddergem
stops,stop_name,nl,Iddergem,,,Iddergem
stops,stop_name,de,Iddergem,,,Iddergem
stops,stop_name,en,Iddergem,,,Iddergem
stops,stop_name,fr,Liedekerke,,,Liedekerke
stops,stop_name,nl,Liedekerke,,,Liedekerke
stops,stop_name,de,Liedekerke,,,Liedekerke
stops,stop_name,en,Liedekerke,,,Liedekerke
stops,stop_name,fr,Denderleeuw,,,Denderleeuw
stops,stop_name,nl,Denderleeuw,,,Denderleeuw
stops,stop_name,de,Denderleeuw,,,Denderleeuw
stops,stop_name,en,Denderleeuw,,,Denderleeuw
stops,stop_name,fr,Okegem,,,Okegem
stops,stop_name,nl,Okegem,,,Okegem
stops,stop_name,de,Okegem,,,Okegem
stops,stop_name,en,Okegem,,,Okegem
stops,stop_name,fr,Ninove,,,Ninove
stops,stop_name,nl,Ninove,,,Ninove
stops,stop_name,de,Ninove,,,Ninove
stops,stop_name,en,Ninove,,,Ninove
stops,stop_name,fr,Eichem,,,Eichem
stops,stop_name,nl,Eichem,,,Eichem
stops,stop_name,de,Eichem,,,Eichem
stops,stop_name,en,Eichem,,,Eichem
stops,stop_name,fr,Appelterre,,,Appelterre
stops,stop_name,nl,Appelterre,,,Appelterre
stops,stop_name,de,Appelterre,,,Appelterre
stops,stop_name,en,Appelterre,,,Appelterre
stops,stop_name,fr,Zandbergen,,,Zandbergen
stops,stop_name,nl,Zandbergen,,,Zandbergen
stops,stop_name,de,Zandbergen,,,Zandbergen
stops,stop_name,en,Zandbergen,,,Zandbergen
stops,stop_name,fr,Idegem,,,Idegem
stops,stop_name,nl,Idegem,,,Idegem
stops,stop_name,de,Idegem,,,Idegem
stops,stop_name,en,Idegem,,,Idegem
stops,stop_name,fr,Schendelbeke,,,Schendelbeke
stops,stop_name,nl,Schendelbeke,,,Schendelbeke
stops,stop_name,de,Schendelbeke,,,Schendelbeke
stops,stop_name,en,Schendelbeke,,,Schendelbeke
stops,stop_name,fr,Herne,,,Herne
stops,stop_name,nl,Herne,,,Herne
stops,stop_name,de,Herne,,,Herne
stops,stop_name,en,Herne,,,Herne
stops,stop_name,fr,Tollembeek,,,Tollembeek
stops,stop_name,nl,Tollembeek,,,Tollembeek
stops,stop_name,de,Tollembeek,,,Tollembeek
stops,stop_name,en,Tollembeek,,,Tollembeek
stops,stop_name,fr,Gammerages,,,Gammerages
stops,stop_name,nl,Galmaarden,,,Gammerages
stops,stop_name,de,Galmaarden / Gammerages,,,Gammerages
stops,stop_name,en,Gammerages / Galmaarden,,,Gammerages
stops,stop_name,fr,Viane-Moerbeke,,,Viane-Moerbeke
stops,stop_name,nl,Viane-Moerbeke,,,Viane-Moerbeke
stops,stop_name,de,Viane-Moerbeke,,,Viane-Moerbeke
stops,stop_name,en,Viane-Moerbeke,,,Viane-Moerbeke
stops,stop_name,fr,Lierde,,,Lierde
stops,stop_name,nl,Lierde,,,Lierde
stops,stop_name,de,Lierde,,,Lierde
stops,stop_name,en,Lierde,,,Lierde
stops,stop_name,fr,Grammont,,,Grammont
stops,stop_name,nl,Geraardsbergen,,,Grammont
stops,stop_name,de,Geraardsbergen / Grammont,,,Grammont
stops,stop_name,en,Grammont / Geraardsbergen,,,Grammont
stops,stop_name,fr,Vijfhuizen,,,Vijfhuizen
