route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000002,88____:007::8892007:8895000:9:546:20240412,Alost,10303,,3,,1
1,000003,88____:007::8892007:8895000:9:647:20240414,Alost,10304,,4,,1
1,000002,88____:007::8892007:8895000:9:647:20240412,Alost,10304,,5,,1
2,000004,88____:007::8892338:8892007:11:707:20240413,Alost,10305,,6,,1
2,000004,88____:007::8892007:8895000:9:747:20240413,Alost,10305,,6,,1
2,001112,88____:007::8892007:8895000:9:747:20240414,Alost,10305,,7,,1
1,000002,88____:007::8892007:8895000:9:747:20240412,Alost,10305,,8,,1
2,000003,88____:007::8892338:8895000:19:847:20240414,Alost,10306,,9,,1
1,000002,88____:007::8892007:8895000:9:847:20240412,Alost,10306,,10,,1
2,000003,88____:007::8892338:8895000:19:947:20240414,Alost,10307,,11,,1
1,000002,88____:007::8892007:8895000:9:947:20240412,Alost,10307,,12,,1
2,000003,88____:007::8892338:8895000:19:1047:20240414,Alost,10308,,13,,1
1,000002,88____:007::8892007:8895000:9:1047:20240412,Alost,10308,,14,,1
2,000003,88____:007::8892338:8895000:19:1147:20240414,Alost,10309,,15,,1
1,000002,88____:007::8892007:8895000:9:1147:20240412,Alost,10309,,16,,1
2,000003,88____:007::8892338:8895000:19:1247:20240414,Alost,10310,,17,,1
1,000002,88____:007::8892007:8895000:9:1247:20240412,Alost,10310,,18,,1
2,000003,88____:007::8892338:8895000:19:1347:20240414,Alost,10311,,19,,1
1,000002,88____:007::8892007:8895000:9:1347:20240412,Alost,10311,,20,,1
2,000003,88____:007::8892338:8895000:19:1447:20240414,Alost,10312,,21,,1
1,000002,88____:007::8892007:8895000:9:1447:20240412,Alost,10312,,22,,1
2,000003,88____:007::8892338:8895000:19:1547:20240414,Alost,10313,,23,,1
1,000002,88____:007::8892007:8895000:9:1547:20240412,Alost,10313,,24,,1
2,000003,88____:007::8892338:8895000:19:1647:20240414,Alost,10314,,25,,1
1,000002,88____:007::8892007:8895000:9:1647:20240412,Alost,10314,,26,,1
2,000003,88____:007::8892338:8895000:19:1747:20240414,Alost,10315,,27,,1
1,000002,88____:007::8892007:8895000:9:1747:20240412,Alost,10315,,28,,1
2,000005,88____:007::8892338:8895000:19:1847:20240414,Alost,10316,,29,,1
2,000006,88____:007::8892338:8895000:19:1850:20240331,Alost,10316,,30,,1
1,000002,88____:007::8892007:8895000:9:1847:20240412,Alost,10316,,31,,1
2,000003,88____:007::8892338:8895000:19:1947:20240414,Alost,10317,,32,,1
1,000002,88____:007::8892007:8895000:9:1947:20240412,Alost,10317,,33,,1
2,000005,88____:007::8892338:8895000:19:2047:20240414,Alost,10318,,34,,1
2,000006,88____:007::8892338:8895000:19:2050:20240331,Alost,10318,,35,,1
1,000002,88____:007::8892007:8895000:9:2047:20240412,Alost,10318,,36,,1
2,000003,88____:007::8892338:8895000:19:2147:20240414,Alost,10319,,37,,1
1,000002,88____:007::8892007:8895000:9:2147:20240412,Alost,10319,,38,,1
2,000003,88____:007::8892338:8895000:19:2247:20240414,Alost,10320,,39,,1
1,000002,88____:007::8892007:8895000:9:2247:20240412,Alost,10320,,40,,1
1,000002,88____:007::8892007:8895000:9:2346:20240412,Alost,10321,,41,,1
2,000007,88____:007::8895000:8892338:19:808:20240407,La Panne,10328,,42,,1
1,000002,88____:007::8895000:8892007:9:648:20240412,Gand-Saint-Pierre,10328,,43,,1
2,000008,88____:007::8895000:8892338:19:808:20240414,La Panne,10328,,44,,1
2,000007,88____:007::8895000:8892338:19:908:20240407,La Panne,10329,,45,,1
1,000002,88____:007::8895000:8892007:9:747:20240412,Gand-Saint-Pierre,10329,,46,,1
2,000008,88____:007::8895000:8892338:19:908:20240414,La Panne,10329,,47,,1
2,000007,88____:007::8895000:8892338:19:1008:20240407,La Panne,10330,,48,,1
1,000002,88____:007::8895000:8892007:9:847:20240412,Gand-Saint-Pierre,10330,,49,,1
2,000008,88____:007::8895000:8892338:19:1008:20240414,La Panne,10330,,50,,1
2,000009,88____:007::8895000:8892338:19:1108:20240407,La Panne,10331,,51,,1
2,000006,88____:007::8895000:8892338:19:1108:20240331,La Panne,10331,,52,,1
1,000002,88____:007::8895000:8892007:9:947:20240412,Gand-Saint-Pierre,10331,,53,,1
2,000008,88____:007::8895000:8892338:19:1108:20240414,La Panne,10331,,54,,1
2,000009,88____:007::8895000:8892338:19:1208:20240407,La Panne,10332,,55,,1
2,000006,88____:007::8895000:8892338:19:1208:20240331,La Panne,10332,,56,,1
1,000002,88____:007::8895000:8892007:9:1047:20240412,Gand-Saint-Pierre,10332,,57,,1
2,000008,88____:007::8895000:8892338:19:1208:20240414,La Panne,10332,,58,,1
2,000007,88____:007::8895000:8892338:19:1308:20240407,La Panne,10333,,59,,1
1,000002,88____:007::8895000:8892007:9:1147:20240412,Gand-Saint-Pierre,10333,,60,,1
2,000008,88____:007::8895000:8892338:19:1308:20240414,La Panne,10333,,61,,1
2,000007,88____:007::8895000:8892338:19:1408:20240407,La Panne,10334,,62,,1
1,000002,88____:007::8895000:8892007:9:1247:20240412,Gand-Saint-Pierre,10334,,63,,1
2,000008,88____:007::8895000:8892338:19:1408:20240414,La Panne,10334,,64,,1
2,000007,88____:007::8895000:8892338:19:1508:20240407,La Panne,10335,,65,,1
1,000002,88____:007::8895000:8892007:9:1347:20240412,Gand-Saint-Pierre,10335,,66,,1
2,000008,88____:007::8895000:8892338:19:1508:20240414,La Panne,10335,,67,,1
2,000007,88____:007::8895000:8892338:19:1608:20240407,La Panne,10336,,68,,1
1,000002,88____:007::8895000:8892007:9:1447:20240412,Gand-Saint-Pierre,10336,,69,,1
2,000008,88____:007::8895000:8892338:19:1608:20240414,La Panne,10336,,70,,1
2,000007,88____:007::8895000:8892338:19:1708:20240407,La Panne,10337,,71,,1
1,000002,88____:007::8895000:8892007:9:1547:20240412,Gand-Saint-Pierre,10337,,72,,1
2,000008,88____:007::8895000:8892338:19:1708:20240414,La Panne,10337,,73,,1
2,000007,88____:007::8895000:8892338:19:1808:20240407,La Panne,10338,,74,,1
1,000002,88____:007::8895000:8892007:9:1647:20240412,Gand-Saint-Pierre,10338,,75,,1
2,000008,88____:007::8895000:8892338:19:1808:20240414,La Panne,10338,,76,,1
2,000007,88____:007::8895000:8892338:19:1908:20240407,La Panne,10339,,77,,1
1,000002,88____:007::8895000:8892007:9:1747:20240412,Gand-Saint-Pierre,10339,,78,,1
2,000008,88____:007::8895000:8892338:19:1908:20240414,La Panne,10339,,79,,1
2,000007,88____:007::8895000:8892338:19:2008:20240407,La Panne,10340,,80,,1
1,000002,88____:007::8895000:8892007:9:1847:20240412,Gand-Saint-Pierre,10340,,81,,1
2,000008,88____:007::8895000:8892338:19:2008:20240414,La Panne,10340,,82,,1
2,000007,88____:007::8895000:8892338:19:2108:20240407,La Panne,10341,,83,,1
1,000002,88____:007::8895000:8892007:9:1947:20240412,Gand-Saint-Pierre,10341,,84,,1
2,000008,88____:007::8895000:8892338:19:2108:20240414,La Panne,10341,,85,,1
2,000007,88____:007::8895000:8892338:19:2208:20240407,La Panne,10342,,86,,1
1,000002,88____:007::8895000:8892007:9:2047:20240412,Gand-Saint-Pierre,10342,,87,,1
2,000008,88____:007::8895000:8892338:19:2208:20240414,La Panne,10342,,88,,1
2,000011,88____:007::8895000:8892007:9:2147:20240406,La Panne,10343,,89,,1
2,001112,88____:007::8895000:8892007:9:2147:20240414,La Panne,10343,,90,,1
2,000011,88____:007::8892007:8892338:11:2308:20240406,La Panne,10343,,89,,1
1,000002,88____:007::8895000:8892007:9:2147:20240412,Gand-Saint-Pierre,10343,,91,,1
2,000012,88____:007::8895000:8892338:19:2308:20240413,La Panne,10343,,92,,1
1,000003,88____:007::8895000:8892007:9:2247:20240414,Gand-Saint-Pierre,10344,,93,,1
1,000002,88____:007::8895000:8892007:9:2247:20240412,Gand-Saint-Pierre,10344,,94,,1
1,000003,88____:007::8895000:8892007:9:2347:20240414,Gand-Saint-Pierre,10345,,95,,1
1,000002,88____:007::8895000:8892007:9:2347:20240412,Gand-Saint-Pierre,10345,,96,,1
3,000002,88____:044::8895000:8892007:9:613:20240412,Gand-Saint-Pierre,10470,,97,,1
4,000006,88____:049::8892007:8891009:10:820:20240331,Bruges,11000,,98,,1
5,000013,88____:049::8822004:8893401:7:2456:20240517,Termonde,11000,,99,,1
4,000014,88____:049::8892007:8891009:10:2438:20240328,Bruges,11000,,100,,1
6,000015,88____:049::8892205:8896008:5:800:20240310,Courtrai,11000,,101,,1
7,000016,88____:049::8896008:8896735:8:843:20240225,Poperinge,11000,,102,,1
8,000017,88____:049::8892007:8896008:6:2517:20240308,Courtrai,11000,,103,,1
9,000018,88____:049::8895802:8895000:3:641:20240505,Alost,11000,,104,,1
10,000019,88____:049::8892007:8892106:3:117:20240407,Deinze,11000,,105,,1
11,000008,88____:049::8892007:8894201:5:704:20240414,Lokeren,11000,,106,,1
12,000020,88____:049::8822715:8894508:4:49:20240502,Saint-Nicolas,11000,,107,,1
10,000021,88____:049::8892007:8892106:3:617:20240512,Deinze,11000,,108,,1
10,000022,88____:049::8892007:8892106:3:638:20240510,Deinze,11000,,109,,1
13,000023,88____:049::8895208:8895802:9:649:20240526,Denderleeuw,11000,,110,,1
4,000006,88____:049::8892007:8891009:10:920:20240331,Bruges,11001,,111,,1
4,000024,88____:049::8892007:8891009:10:2438:20240517,Bruges,11001,,112,,1
4,000025,88____:049::8892007:8891009:10:2538:20240321,Bruges,11001,,113,,1
6,000015,88____:049::8892205:8896008:5:845:20240310,Courtrai,11001,,114,,1
7,000016,88____:049::8896008:8896735:8:943:20240225,Poperinge,11001,,115,,1
14,000026,88____:049::8891009:8892205:4:2344:20240223,Lichtervelde,11001,,116,,1
9,000018,88____:049::8895802:8895000:3:741:20240505,Alost,11001,,117,,1
15,000027,88____:049::8894508:8821006:8:2451:20240315,Anvers-Central,11001,,118,,1
4,000028,88____:049::8892007:8891009:10:2423:20240328,Bruges,11001,,119,,1
16,000029,88____:049::8894201:8894508:4:724:20240407,Saint-Nicolas,11001,,120,,1
11,000008,88____:049::8892007:8894201:5:804:20240414,Lokeren,11001,,121,,1
10,000021,88____:049::8892007:8892106:3:717:20240512,Deinze,11001,,122,,1
10,000022,88____:049::8892007:8892106:3:738:20240510,Deinze,11001,,123,,1
13,000023,88____:049::8895208:8895802:9:749:20240526,Denderleeuw,11001,,124,,1
4,000006,88____:049::8892007:8891009:10:1020:20240331,Bruges,11002,,125,,1
4,000024,88____:049::8892007:8891009:10:2538:20240517,Bruges,11002,,126,,1
4,000025,88____:049::8892007:8891009:10:2422:20240321,Bruges,11002,,127,,1
6,000015,88____:049::8892205:8896008:5:945:20240310,Courtrai,11002,,128,,1
7,000016,88____:049::8896008:8896735:8:1043:20240225,Poperinge,11002,,129,,1
5,000030,88____:049::8822004:8893401:7:2456:20240301,Termonde,11002,,130,,1
9,000018,88____:049::8895802:8895000:3:841:20240505,Alost,11002,,131,,1
15,000027,88____:049::8894508:8821006:8:2445:20240315,Anvers-Central,11002,,132,,1
4,000028,88____:049::8892007:8891009:10:2447:20240328,Bruges,11002,,133,,1
16,000029,88____:049::8894201:8894508:4:824:20240407,Saint-Nicolas,11002,,134,,1
11,000008,88____:049::8892007:8894201:5:904:20240414,Lokeren,11002,,135,,1
10,000021,88____:049::8892007:8892106:3:817:20240512,Deinze,11002,,136,,1
10,000022,88____:049::8892007:8892106:3:838:20240510,Deinze,11002,,137,,1
13,000023,88____:049::8895208:8895802:9:849:20240526,Denderleeuw,11002,,138,,1
4,000028,88____:049::8892007:8891009:10:2538:20240328,Bruges,11003,,139,,1
4,000006,88____:049::8892007:8891009:10:1120:20240331,Bruges,11003,,140,,1
4,000031,88____:049::8892007:8891009:10:126:20240322,Bruges,11003,,141,,1
6,000015,88____:049::8892205:8896008:5:1045:20240310,Courtrai,11003,,142,,1
7,000016,88____:049::8896008:8896735:8:1143:20240225,Poperinge,11003,,143,,1
9,000018,88____:049::8895802:8895000:3:941:20240505,Alost,11003,,144,,1
17,000032,88____:049::8892908:8892601:2:925:20240305,Audenarde,11003,,145,,1
15,000027,88____:049::8821006:8894508:8:2450:20240315,Saint-Nicolas,11003,,146,,1
16,000029,88____:049::8894201:8894508:4:924:20240407,Saint-Nicolas,11003,,147,,1
11,000008,88____:049::8892007:8894201:5:1004:20240414,Lokeren,11003,,148,,1
4,000024,88____:049::8892007:8891009:10:2423:20240517,Bruges,11003,,149,,1
10,000021,88____:049::8892007:8892106:3:917:20240512,Deinze,11003,,150,,1
10,000022,88____:049::8892007:8892106:3:938:20240510,Deinze,11003,,151,,1
13,000023,88____:049::8895208:8895802:9:949:20240526,Denderleeuw,11003,,152,,1
4,000006,88____:049::8892007:8891009:10:1220:20240331,Bruges,11004,,153,,1
4,000025,88____:049::8892007:8891009:10:2447:20240321,Bruges,11004,,154,,1
6,000015,88____:049::8892205:8896008:5:1145:20240310,Courtrai,11004,,155,,1
7,000016,88____:049::8896008:8896735:8:1243:20240225,Poperinge,11004,,156,,1
9,000018,88____:049::8895802:8895000:3:1041:20240505,Alost,11004,,157,,1
17,000032,88____:049::8892908:8892601:2:1025:20240305,Audenarde,11004,,158,,1
15,000027,88____:049::8821006:8894508:8:2351:20240315,Saint-Nicolas,11004,,159,,1
4,000033,88____:049::8892007:8891009:10:125:20240329,Bruges,11004,,160,,1
16,000029,88____:049::8894201:8894508:4:1024:20240407,Saint-Nicolas,11004,,161,,1
11,000008,88____:049::8892007:8894201:5:1104:20240414,Lokeren,11004,,162,,1
4,000034,88____:049::8892007:8891009:10:125:20240518,Bruges,11004,,163,,1
10,000021,88____:049::8892007:8892106:3:1017:20240512,Deinze,11004,,164,,1
10,000022,88____:049::8892007:8892106:3:1038:20240510,Deinze,11004,,165,,1
13,000023,88____:049::8895208:8895802:9:1049:20240526,Denderleeuw,11004,,166,,1
4,000024,88____:049::8892007:8891009:10:2447:20240517,Bruges,11005,,167,,1
4,000006,88____:049::8892007:8891009:10:1320:20240331,Bruges,11005,,168,,1
6,000015,88____:049::8892205:8896008:5:1245:20240310,Courtrai,11005,,169,,1
7,000016,88____:049::8896008:8896735:8:1343:20240225,Poperinge,11005,,170,,1
9,000018,88____:049::8895802:8895000:3:1141:20240505,Alost,11005,,171,,1
17,000032,88____:049::8892908:8892601:2:1125:20240305,Audenarde,11005,,172,,1
4,000035,88____:049::8892007:8891009:10:2438:20240314,Bruges,11005,,173,,1
16,000029,88____:049::8894201:8894508:4:1124:20240407,Saint-Nicolas,11005,,174,,1
11,000008,88____:049::8892007:8894201:5:1204:20240414,Lokeren,11005,,175,,1
18,000036,88____:049::8895505:8895802:10:702:20240519,Denderleeuw,11005,,176,,1
10,000021,88____:049::8892007:8892106:3:1117:20240512,Deinze,11005,,177,,1
10,000022,88____:049::8892007:8892106:3:1138:20240510,Deinze,11005,,178,,1
13,000023,88____:049::8895208:8895802:9:1149:20240526,Denderleeuw,11005,,179,,1
4,000006,88____:049::8892007:8891009:10:1420:20240331,Bruges,11006,,180,,1
6,000015,88____:049::8892205:8896008:5:1345:20240310,Courtrai,11006,,181,,1
7,000016,88____:049::8896008:8896735:8:1443:20240225,Poperinge,11006,,182,,1
9,000018,88____:049::8895802:8895000:3:1241:20240505,Alost,11006,,183,,1
17,000032,88____:049::8892908:8892601:2:1225:20240305,Audenarde,11006,,184,,1
4,000035,88____:049::8892007:8891009:10:2423:20240314,Bruges,11006,,185,,1
16,000029,88____:049::8894201:8894508:4:1224:20240407,Saint-Nicolas,11006,,186,,1
11,000008,88____:049::8892007:8894201:5:1304:20240414,Lokeren,11006,,187,,1
18,000036,88____:049::8895505:8895802:10:802:20240519,Denderleeuw,11006,,188,,1
10,000021,88____:049::8892007:8892106:3:1217:20240512,Deinze,11006,,189,,1
10,000022,88____:049::8892007:8892106:3:1238:20240510,Deinze,11006,,190,,1
13,000023,88____:049::8895208:8895802:9:1249:20240526,Denderleeuw,11006,,191,,1
19,000037,88____:049::8812146:8893401:5:2359:20240517,Termonde,11006,,192,,1
4,000006,88____:049::8892007:8891009:10:1520:20240331,Bruges,11007,,193,,1
6,000015,88____:049::8892205:8896008:5:1445:20240310,Courtrai,11007,,194,,1
7,000016,88____:049::8896008:8896735:8:1543:20240225,Poperinge,11007,,195,,1
9,000018,88____:049::8895802:8895000:3:1341:20240505,Alost,11007,,196,,1
17,000032,88____:049::8892908:8892601:2:1325:20240305,Audenarde,11007,,197,,1
4,000035,88____:049::8892007:8891009:10:2447:20240314,Bruges,11007,,198,,1
16,000029,88____:049::8894201:8894508:4:1324:20240407,Saint-Nicolas,11007,,199,,1
11,000008,88____:049::8892007:8894201:5:1404:20240414,Lokeren,11007,,200,,1
18,000036,88____:049::8895505:8895802:10:902:20240519,Denderleeuw,11007,,201,,1
10,000021,88____:049::8892007:8892106:3:1317:20240512,Deinze,11007,,202,,1
10,000022,88____:049::8892007:8892106:3:1338:20240510,Deinze,11007,,203,,1
13,000023,88____:049::8895208:8895802:9:1349:20240526,Denderleeuw,11007,,204,,1
20,000037,88____:049::8812047:8893401:10:2513:20240517,Termonde,11007,,205,,1
4,000006,88____:049::8892007:8891009:10:1620:20240331,Bruges,11008,,206,,1
6,000015,88____:049::8892205:8896008:5:1545:20240310,Courtrai,11008,,207,,1
7,000016,88____:049::8896008:8896735:8:1643:20240225,Poperinge,11008,,208,,1
9,000018,88____:049::8895802:8895000:3:1441:20240505,Alost,11008,,209,,1
17,000032,88____:049::8892908:8892601:2:1359:20240305,Audenarde,11008,,210,,1
4,000035,88____:049::8892007:8891009:10:2538:20240314,Bruges,11008,,211,,1
16,000029,88____:049::8894201:8894508:4:1424:20240407,Saint-Nicolas,11008,,212,,1
11,000008,88____:049::8892007:8894201:5:1504:20240414,Lokeren,11008,,213,,1
18,000036,88____:049::8895505:8895802:10:1002:20240519,Denderleeuw,11008,,214,,1
10,000021,88____:049::8892007:8892106:3:1417:20240512,Deinze,11008,,215,,1
10,000022,88____:049::8892007:8892106:3:1438:20240510,Deinze,11008,,216,,1
13,000023,88____:049::8895208:8895802:9:1449:20240526,Denderleeuw,11008,,217,,1
4,000006,88____:049::8892007:8891009:10:1720:20240331,Bruges,11009,,218,,1
6,000015,88____:049::8892205:8896008:5:1645:20240310,Courtrai,11009,,219,,1
7,000016,88____:049::8896008:8896735:8:1743:20240225,Poperinge,11009,,220,,1
9,000018,88____:049::8895802:8895000:3:1541:20240505,Alost,11009,,221,,1
17,000032,88____:049::8892908:8892601:2:1425:20240305,Audenarde,11009,,222,,1
4,000038,88____:049::8892007:8891009:10:125:20240315,Bruges,11009,,223,,1
16,000029,88____:049::8894201:8894508:4:1524:20240407,Saint-Nicolas,11009,,224,,1
11,000008,88____:049::8892007:8894201:5:1604:20240414,Lokeren,11009,,225,,1
18,000036,88____:049::8895505:8895802:10:1102:20240519,Denderleeuw,11009,,226,,1
10,000021,88____:049::8892007:8892106:3:1517:20240512,Deinze,11009,,227,,1
10,000022,88____:049::8892007:8892106:3:1538:20240510,Deinze,11009,,228,,1
13,000023,88____:049::8895208:8895802:9:1549:20240526,Denderleeuw,11009,,229,,1
4,000006,88____:049::8892007:8891009:10:1820:20240331,Bruges,11010,,230,,1
6,000015,88____:049::8892205:8896008:5:1745:20240310,Courtrai,11010,,231,,1
7,000016,88____:049::8896008:8896735:8:1843:20240225,Poperinge,11010,,232,,1
21,000039,88____:049::8893401:8894201:3:802:20240303,Lokeren,11010,,233,,1
9,000018,88____:049::8895802:8895000:3:1641:20240505,Alost,11010,,234,,1
17,000032,88____:049::8892601:8892908:2:957:20240305,Renaix,11010,,235,,1
16,000029,88____:049::8894201:8894508:4:1624:20240407,Saint-Nicolas,11010,,236,,1
11,000008,88____:049::8892007:8894201:5:1704:20240414,Lokeren,11010,,237,,1
18,000036,88____:049::8895505:8895802:10:1202:20240519,Denderleeuw,11010,,238,,1
10,000021,88____:049::8892007:8892106:3:1617:20240512,Deinze,11010,,239,,1
10,000022,88____:049::8892007:8892106:3:1638:20240510,Deinze,11010,,240,,1
13,000023,88____:049::8895208:8895802:9:1649:20240526,Denderleeuw,11010,,241,,1
19,000040,88____:049::8812146:8893401:5:2359:20240524,Termonde,11010,,242,,1
4,000006,88____:049::8892007:8891009:10:1920:20240331,Bruges,11011,,243,,1
6,000015,88____:049::8892205:8896008:5:1845:20240310,Courtrai,11011,,244,,1
7,000016,88____:049::8896008:8896735:8:1943:20240225,Poperinge,11011,,245,,1
21,000039,88____:049::8893401:8894201:3:902:20240303,Lokeren,11011,,246,,1
9,000018,88____:049::8895802:8895000:3:1741:20240505,Alost,11011,,247,,1
17,000032,88____:049::8892601:8892908:2:1057:20240305,Renaix,11011,,248,,1
16,000029,88____:049::8894201:8894508:4:1724:20240407,Saint-Nicolas,11011,,249,,1
11,000008,88____:049::8892007:8894201:5:1804:20240414,Lokeren,11011,,250,,1
18,000036,88____:049::8895505:8895802:10:1302:20240519,Denderleeuw,11011,,251,,1
10,000021,88____:049::8892007:8892106:3:1717:20240512,Deinze,11011,,252,,1
10,000022,88____:049::8892007:8892106:3:1738:20240510,Deinze,11011,,253,,1
13,000023,88____:049::8895208:8895802:9:1749:20240526,Denderleeuw,11011,,254,,1
20,000040,88____:049::8812047:8893401:10:2513:20240524,Termonde,11011,,255,,1
4,000006,88____:049::8892007:8891009:10:2020:20240331,Bruges,11012,,257,,1
6,000015,88____:049::8892205:8896008:5:1945:20240310,Courtrai,11012,,258,,1
7,000016,88____:049::8896008:8896735:8:2043:20240225,Poperinge,11012,,259,,1
